article_id,question,correct_answer,false_answer
24977,How did Pembroke get to Puerto Pacifico?,The aliens placed Pembroke in Puerto Pacifico after destroying his ship.,Pembroke arrived in Puerto Pacifico on the lifeboat he used to escape the sinking ship.
51027,Why did the woman have Nellie take a physical in her place?,She was expecting a baby,She was wanting to surprise her husband
53269,"Why did Eddie’s mother forget to make dinner? 
","Mr. Taylor’s isotope was stolen
","Eddie forgot was home earlier than expected, so sinner wasn’t ready yet. 
"
63477,How had the fusion control points been adjusted?,Trillium had adjusted it when she got too heated.,It had been moved by a scurrying three-tailed mouse of Venus
25086,The Venusian delegate's message to humans on Earth is best characterized as a:,ultimatum,attack
51609,Why have so many people resorted to pick-pocketing?,The pickpocketers are trying to acquire information about Fownes,"Resources are scarce in the Dome, so people have to resort to desperate measures"
20001,Why does the author say that the imposing the ban was a contradiction by whom it was imposed?,Because he is known for not resisting temptation of the flesh,Because he was only banning the nonexistent to show power
25627,Which of these do Ron and Ledman have in common?,There were both injured in the same accident,They have both been wrong by the companies that they worked for
99911,Second Home ,"seems to be geared towards ""hipsters.""",is an uncomfortable environment.
50668,How did Jery feel when going to Baxter's office the second time?,more comfortable and relaxed,excited to find out what happens next
63477,"O'Rielly starts to talk about ""venus dames"" unprompted and acting strangely. Why?",It's the effect that Venus women have on Earth men. The woman's presence changes his focus. ,He's out of sorts from working on the controls. The heat got to him. 
63097,"Had the narrator vehemently denied his position as Yandro, would the opinions of the people have likely changed?","No, because the inhabitants strictly uphold and respect the prophecy that named the narrator as Yandro.","No, because the narrator would eventually be forced against his own will to be Yandro."
63097,"Who is Sporr and what is his authority in calling the narrator Yandro? 
","He is a mystic in touch with the spiritual realm, in charge of prophecies. 
","He is a mystic in touch with the material space, in charge of prophecies. 
"
60713,When did the Nilly first strike?,One month after leaving Earth,Two weeks after leaving Earth
51609,Why are the police studying Frownes so intently?,They are suspicious of the odd behavior occurring within and around his home,They believe he is responsible for the increased frequency of falling glass
63631,What did the beings use to ensure they killed every human?,The Bureau's Index,A machine they brought from their home planet
62498,How was the Cuchulainn able to make the journey to Eros?,"Dick fixed it, so it was fully operational.",It had protection from the General Spacecraft Cradles.
50826,Why does the woman in the shack treat the protagonist poorly?,She does not trust him,He is racist against Martians
60995,What will likely happen after Mr. Linton killed Greta?,He will be re-institutionalized,He will attempt to resurrect her again
63109,Why is Grannie Annie so concerned about the Green Flame’s whereabouts?,"The current political climate is restless, and if used Green Flames could lead to a disaster.",She believes that Doctor Universe is using to for his show to manipulate people.
23942,"What is Simon referring to when he says ""now it comes"" to Betty during their discussion at the beginning of the story?",The client he is expecting is about to show up.,He is expecting the usual argument with Betty about her job.
61097,Why did the guard tell Retief that the schedule for Jorgensen's World was filled up?,The VIP accommodation requested no tourists,There were too many tourists on board already and the ship was full
50969,"Of the four main crew members, who are focused on the most in the story?",Halden and Meredith,Kelburn and Halden
31357,Why are Arvid 6 and Tendal 13 attempting to steal Reggie?,Kanad was accidentally sent transformed to Reggie's body by mistake in the Ultroom.,They need infants for experiments they are conducting in the Ultroom.
51286,What is significant about the meal Matilda is served?,It lends credence to Gorka’s otherworldly claims. How else could it have happened? ,"It’s exactly what she wanted to eat, and she didn’t have to ask for it. ,"
51330,Which good thing didn't come because of Mr. Graham's strange luck?,Mr. Graham found inspiration for his book,Nat got a lead on an exciting new story
27110,How did Ned become a mummy?,"A combination of the alkali and mud his body had been soaked in. Also, the years of dryness after the world became a desert.",The earth became a desert wasteland. All the moisture was leached from the corpse.
99910,Which is true about the various types of local currency?,"They are used in addition to the national currency, not as a replacement",They often try to replace the national currency to varying levels of success
51129,What would the average Zur resident say of the Earthmen?,"they brought about many changes, mostly for the best",they would rather be without the items brought by the Earthmen
60897,Why were Henry and the protagonist puzzled after winning in the card game?,They were able to spy on the cards without seeing them,They won far more money than they expected
25627,Which of these was not a consequence of the Great Atomic Wars?,Multiple planets were settled by various countries in a display of power,All major types of power sources changed
52995,What happens to drafted workers?,"They train and work for a time, then retire with extra funds.","They work a short period of time, then return to normal life."
50103,Why does Gile volunteer for the ship in the end?,"He accepts his mortality, and is willing to spend his last years on the chance to see his family. ","He fears the end of his life, and wants to try to see his family before he passes. "
63919,Why did David press the button?,He wanted to get more information from the voice.,He understood his name.
51046,Why does the older man know so much?,he was in the same situation 30 years ago,he was the original inventor
63527,What was the indication in the passage to show that Starre was aware of Parker's newfound love for her?,His affection while teaching her about the mechanics of the hauler. ,His determination to help her stop the wedding to Mac. 
61467,How would Asa's decision on where to become a changeling been affected if the pay range to work as a muck man on Jordan's Planet was not as high as it was originally listed in the article?,Asa would have become a muck man anyways because that was his original intention.,"Asa would have still opted to become a muck man, but he would have largely been dissapointed with the low pay rate."
51433,Why are they hunting the farn beast?,This is a vacation hunting trip for Extrone.,They are hunting the farn beasts because farn beasts are dangerous.
26741,What is Rupert doing in Tangier?,He is on a mission to encourage international conflict.,He is on a business trip to find a source of protein.
31355,Which of these is the best representation of the connection between Old Dunbar and the rest of the crew?,He led the group out of their previous lives,He tagged along when they escaped their previous situation
25627,What is ironic about Ledman's quick departure to Mars?,Inventors discovered a way to create prosthetics using atomic power,"In hunting Geigs, Ledman is killing the only people with the power to help him walk again"
20064,What issue does the Author have with Liam Neeson's character?,His apathy in all situations,His lack of chemistry with his co-stars
23588,What is Thurgood's primary fear regarding the explosion at the arts and crafts building?,Reputational damage,Radiation poisoning
25627,Why did Val become so tired during her trek across the desert?,She did not have the technology that enabled Ron to persist,She became consumed with resentment for having traveled to Mars
62619,By the end of the passage. what can we understand about the opening scene?,"Despite being logical, Robert feels emotional about killing Peter.  He is at odds with himself. ",Robert's cold logic has won him over completely. 
60995,Which of these best describes the doctor that Linton meets at the end?,Greedy in that he manipulates vulnerable people to take money from them,Cunning in his cutting-edge technology he is developing
61467,What seems to be the primary benefit of becoming a changeling?,Efficient labor and reduced prison sentences.,Developing superhuman powers.
51129,How had the brothers changed by the end of the story?,they were so defeated they no longer beat him,they hated Zotul more than ever
25627,Why have Val and Ron joined a mission on Mars?,to restore Earth's depleted fuel reserves,to locate a new source of fuel
20019,A former gaming commissioner compared gambling to:,Alcohol,Cigarettes
61119,"What would best describe Madison's attitude towards Professor Parnell upon learning Parnell's reasoning for calling the people of Granite City ""subhuman""?",Madison is reluctant to believe Parnell.,Madison dismisses Parnell as a liar.
63919,"Of his fellow crew members, who does David seem to have the most concern for and why?","Karen, because she's a female crew member and because she has a bad reaction to being awoken.","John, because David first wakes him up with the apparatus and is unsure how safe the apparatus is to operate."
23588,"What are the necessary components for Thaddeus to cause an ""event""?",An object and his stare,Clay and his stare
20017,How did the author feel about Unmade Beds?,the movie didn't show the real truth about its characters,it displayed many hidden truths about people
51053,How is Rog treated differently than the others?,he's the only one that trains with Opal,he's the one that makes all of the decisions in the house
20073,"According to Hindson, the Antichrist will not be Jewish because",The Antichrist will be a world leader who will make a peace treaty with Israel. ,The Antichrist will come from a Christian family. 
51597,Which is the best description of the relationship between the Doc and the captain?,The Doc respects the captain's position but say something if he thinks he goes too far,The Doc is the official mediator between the captian and the rest of the crew
61499,Which is the best summary of this story?,A man realizes his obliviousness and shifts his morality as a result.,A man loses hope for his world and gives up in the fight for justice.
51351,What helped mitigate the effects of the anomaly?,The ship,The training of the spacemen
62569,What is not a type technology that is used in this story?,Tasers that paralyze individuals and render them unconscious,Filming devices 
24192,Why did Rhona look sick while she was dancing with Hank?,He was not the Hank she was used to dancing with.,Hank was already very drunk and the smell of alcohol on his breath appalled her.
24278,What does Read's involvement in The Golden Spacemen tell us?,His need to belong in a group.,His propensity for violence.
63109,"What is Grannie Annie referring to when she says ""the I.P men aren't strong enough?"" ","She knows that as the politcal climate worsens, the I.P won't be able to keep up with the chaos. ",Just that - that the local law enforcement should be stronger. 
49165,What is the Brightside?,The Brightside is the side of Mercury that constantly faces the sun.,The Brightside is the name of the crossing the climbers are going to climb.
63442,What main motivation did Antler Park have to leave the lens in the barracks?,"He knew the value of this spot for Acoustix, and wanted to run the Jimmy Baker out. ",He was afraid of Grannie Annie discovering his plot and tried to get rid of her. 
51256,Why can’t Zubov tell Colonal James apart from Pashkov?,Colonel James got surgery to look like Pashkov. ,They both wear disguises. 
62498,What example listed is most similar to the Moseley family's journey to Eros?,Settlers traveling to uninhabited land.,A family moving to a developed country for work.
99920,What do Toyota and AT&T have in common? ,"They are examples of systems with different levels of control, more useful when contrasted than compared","They both have tried to establish loosely-coupled systems, to varying degrees of success"
99902,What is the relationship like between Ed and Sheryl?,"Their relationship is tense as Ed will not get help when he needs it, but it is mostly cordial",They are very tense and the only thing that brings them together is their daughter
63616,Why did Harper think of Mrs. Jacobsen when the two robots came to his room?,He was starting to agree that human customer service might be preferable to robots.,He scoffed again at her irritation with the robots. 
47841,Why did Lorraine duck her head when another car passed by the group on their way to the fountain?,She knew who the new owner of the estate was and didn't want to be seen. ,She was afraid someone would report that they were trespassing. 
52844,"Of the following options, which best describes the relationship between Tremaine and Jess?",They knew each other growing up and are temporarily working together.,They're childhood friends and they ran into each other and caught up for old times' sake.
51256,Which of the following best describes the relationship between Pashkov and Nadezhda Brunhildova?,They are lovers,They are enemies
62324,What was so unique about Genius that made Joe and Harvey want to purchase him?,His 6 arms,His useful mechanical skills
27665,What is the most likely cause of the accident that displaced Marjorie and Donald from their home?,Radioactive toxicity,Climate devastation
60713,Which of these is true about the Red Mask?,He is entirely harmless and it just looks like he's trouble,He does not hesitate to use physical violence
27110,What do the Kar-Rah have in common with 20th century humans?,Large crania,An erect posture
63631,What are the four hypotheses Charles has about how he might have survived the plague? ,He’s too normal to get it; pure chance; he’s a saint; immunity,"He’s a nice guy; pure chance; he’s a prophet; he received medical treatment. 
"
50988,How does Helen feel about her husband?,she wishes she'd never met him,she's in love with his true self
23791,Why don't tourists go to Lunar City?,Tourists went insane when faced with the vastness of space.,Lunar City is on the far side of the moon. It's far too cold for tourism.
51361,Why was the narrator in so much trouble?,he was responsible for a non-terrestrial death,he was conning non-terrestrials to go to Earth
61204,"What is ironic about Wayne’s laughing in the face of violence?—First when he leaves his parents house and again when he chases Red. 
","His real feelings about violence are the opposite of what his maniacal laugh suggests. It turns out he isn’t a heartless killer. 
","His laughs suggest he enjoys violence, but really they are a cry for help. 
"
51295,Why was Erica unhappy when Dan was describing his six previous wives?,Because Dan had not been married to these women,Because Dan remembered all of their names
61242,What is the new problem the American astronauts are left with at the end of the passage?,The barrel has destroyed their air supply. ,The calking compound has hardened and become unusable. 
51046,What isn't something the guest expects the younger man to do?,listen to his directions very carefully,run the time machine
61119,What is the most likely reason for the lack of car insurance claims in Granite City?,It was very unsafe to drive any vehicles in Granite City.,The orchestrated fraud in Granite City was too complex and time-consuming to devote time to smaller claims.
63442,How did Grannie Annie save the workers?,She discovered that ultraviolet could reverse the effects on them and used it to cure them.  ,She removed the lens from the barracks that was making them sick. 
63398,What is Rolf's new plan when he spots the rocket?,"He'll be able to distribute water to Mar's colonies, and get out with Tanner and the girl.","He'll have a way out of the caverns at last, be able to escape. "
51053,Why are there three women and one man in the home?,they were the only people the aliens had been able to bring back alive,they wanted extra women to make more babies
61097,Why did the Captain decide to change course and skip Jorgensen's World?,They were avoiding going to Jorgensen's World because of Retief's presence,They had to retreat because of the trouble with the Sweaties
50969,How do you think Meredith feels about the rest of the crew?,She respects one person the most and loves another person the most,She respects and loves one person the most
20015,Who was the editor for The New Yorker when Shawn died?,Brown,Ross
20032,What isn't something Harris claims he'll do?,guarantee the quality of the eggs he's selling,make money off of monthly subscriptions
49165,What didn't happen to McIvers?,he got lost,he took a detour
51053,The humans in the fourth dimension acquire all of the following remarkable abilities EXCEPT for:,superhuman strength,thought transference
20022,What is the film reviewer's main critique of Zaillian's performance?,Viewers can easily anticipate the conclusion of each scene in the film,He makes the same mistakes as Schlichtmann in getting distracted by unimportant details
20014,"Would Fiss believe that free speech is really ""free?""","No, because Fiss believes free speech is not granted equally to everyone.","Yes, but he does propose minor critiques towards the concept of free speech."
51202,What is normal about the Incompletes?,They still live with a specific fear,They are easily manipulated
51129,Who changed the least throughout the story?,Broderick,Kalrab
31355,What is ironic about Russell's decision to kill Dunbar?,"If the four men had followed Dunbar, they all would have survived.","After killing Dunbar, Russell became just as delusional as Dunbar"
20015,What was the new editor trying to convince Ross into doing?,Re-joining the magazine,Booting out Mehta
51092,What didn't Ann receive from Hartshorne-Logan?,a response to her complaint letter,a manky
51597,Which of these best describes the captain?,He is a pushy person who gets on people's bad sides but thinks he has good intentions,He is a sly but fair man who pushes his crew to do their best
24192,Why did Edith greet her husband the way she did when he returned home?,"In some ways, he was not the man who had left and she was nervous about the change.",She was nervous because she had not seen him in almost a year.
51657,What should probably happen to William?,he should seek professional help,he should find out who killed the man
25086,What does Jerry promise to Professor Coltz without saying explicitly?,He plans not to reveal the true creators of the Venusian delegate,He plans not to share his physics notes with the media
61204,"Which word best describe Wayne’s worst fear?
",Punk,Red
27665,Why will the group be out of the mouse business by the fall?,"The mice are breeding so fast, they will not be a novelty much longer.","When the cold weather comes in the fall, the mice won't survive in the cold barn."
99901,What does the author view as the purpose of AI,To amplify social improvement,To mitigate climate threats
20064,Why does the critic believe that some people will like The Phantom Menace?,Delusion,The effects
63304,"What is the double meaning of the story’s title? 

","“Doublecross” because Svan plans to double cross his friends; and “Doublecross” because it turns out that, ironically, Svan was who pulled the slip with the double cross, not his friends whom he suspected to have pulled it and not had the courage to admit it. ","“Doublecross” because Svan plans to double cross the council; and “Doublecross” because Svan was the one who pulled the slip with the double cross, meaning that he should have been driving in the end.
"
24161,Why does Evans give up his drinking water?,Using the water is the only way for his transportation to work,He knows he does not have enough to survive so he uses it to save his equipment
50969,What is NOT true of the contract discussed in the story?,Meredith knew more contract details than the rest of the crew,The contract was eventually signed
50869,"Why couldn't Glmpauszn communicate with Joe the ""normal"" way?",Joe had drunk too much alcohol,Joe wasn't as talented as Glmpauszn
61405,What is the name of the first person to talk to Mia on Tintera?,Horst,Jimmy
51657,"Once William received the money from Partridge, what didn't he decide to do?",make a better future for himself,eat his fill
52326,What was most often on Myles's mind during his time away?,Lilla,His friends on Earth
61081,Who seems to be the only person that Orison seems to trust at the bank?,Dink Gerding,no one - they all seem suspicious
20075,"What other value for scoring the martial arts most highly correlated with the ""Self-Defense"" value",Degree of Contact,Coordination and Balance
23791,How does Pop feel about Sattell?,"Pop thinks Sattell murdered his family, but he wants Sattell to live. Being near Sattell sparks lost memories.","Sattell murdered Pop's family, Pop wants Sattell dead."
51053,Why had Roger been trained by Opal?,because Opal was unable to bring other men back,because Opal wanted to further his experiment
51494,Why is the first part of the story so important?,It shows the reader a skill that Purnie's been practicing,It give great detail of the setting (which Purnie has to use later in the story to his advantage)
61139,How does Miss Meuhl feel about her job?,She enjoys doing her job the way the Groacians like it.,She enjoys training Retief to the new culture.
51092,Who was Sally in relation to Milly in the story?,Her grandmother ,Her great-grandmother 
60995,Which is the best description of Linton?,He is a gullible person determined to follow his instinct,He is a heartbroken man wanting to find new goals for his life
27110,What enabled Ned to survive one million years after his car accident?,The alkaline water in the pit,The Kar-Rah simulation technology
51249,What isn't a reason for Ben to want to be a rocketman?,he wanted to be the best for Laura,he didn't have family to come home to
61090,What caused Judy's yelling to be ignored by the gangs in the schoolyard?,They couldn't hear her over their own hollering because of the intense cold weapons and jackets. ,They were too distracted by the approaching police lights. 
20061,What does the author seem to value the most in films?,the quality of acting,the length of the film
61228,What caused Macklin to lose his intelligence?,His brain cells were not working properly,He was only pretending 
63304,Why did Svan smile when he was getting ready to leave them?,He was glad the others were going to blow up soon,He was excited to follow through with his plan
23767,"Of what does Kolin and his peers need to be most careful of managing, lest they be perceived as treasonous?",Their guise,Their thoughts
20061,"How does the author feel about the film, Elizabeth?",it is overall enjoyable to watch,the story is well-told but inaccurate
26066,How does Eric compare to the protagonists of his novels?,"He shares a passion for survival, but not an aptitude",He shares a passion and aptitude for survival
23592,What do you think life is like for Mary and Phil after the events of the story?,"Phil closes himself off, resenting Mary for forcing his hand.","Mary is thankful that Phil did not leave, and their lives continue as normal."
63936,"Based on the information in the passage, will Westover be remembered by other humans, and if he will, what will be his legacy?",He'll eventually be remembered as the man who first knew the way to destroy the monsters,He'll be remembered as the man who discovered that humans can eat the monsters for sustenance
31282,Humans end up corrupting Martians,with a chocolate bar initially.,by teaching them gambling.
20032,Which isn't true?,models aren't interested in giving Harris their eggs,the critics don't agree with each other
61090,Why did the bank robbers end up crashing? ,The Scorpion somehow melted their tires. ,They didn't realize the car they stole was damaged. 
99919,Which word least describes Sophie Walker?,manipulative,privileged
24278,Why does the UN want to arrest Umluana?,Umluana has violated the Nuclear Disarmament Treaty.,Umluana conspired to attack another nation.
51170,What isn't a secret that Eckert has kept from Templin?,he knows that Pendleton didn't commit suicide,he expects Templin to act just like Pendleton did on Tunpesh
51609,What is unlikely to happen next?,the government will rethink some of the dome's policies,Agnes and Humphrey will leave the dome
